"Tier 1: Antonio Brown, Odell Beckham Jr., Julio Jones, Todd Gurley, David Johnson"
"Tier 2: Adrian Peterson, A.J. Green, DeAndre Hopkins, Ezekiel Elliott, Lamar Miller, Rob Gronkowski, Dez Bryant, Allen Robinson"
"Tier 3: Jamaal Charles, Le'Veon Bell, Mike Evans"
"Tier 4: Jordy Nelson, Mark Ingram, Brandon Marshall, Alshon Jeffery, Devonta Freeman, Doug Martin, Eddie Lacy, Keenan Allen, LeSean McCoy"
"Tier 5: Brandin Cooks, Amari Cooper, T.Y. Hilton, C.J. Anderson, Sammy Watkins, Demaryius Thomas"
"Tier 6: Cam Newton, Aaron Rodgers, Carlos Hyde, Randall Cobb, Thomas Rawls, Latavius Murray"
"Tier 7: Jordan Reed, Jeremy Maclin, Matt Forte, Russell Wilson, Eric Decker, Andrew Luck"
"Tier 8: Greg Olsen, Jeremy Hill, Julian Edelman, Jarvis Landry"
"Tier 9: DeMarco Murray, Jonathan Stewart, Golden Tate, Kelvin Benjamin, Doug Baldwin, Drew Brees, Donte Moncrief, Michael Floyd, Ryan Mathews"
"Tier 10: Matt Jones, Larry Fitzgerald, Jordan Matthews, Frank Gore, John Brown"
"Tier 11: Travis Kelce, Ben Roethlisberger, Emmanuel Sanders, Giovani Bernard, Jeremy Langford, Melvin Gordon, Carson Palmer, Devante Parker, Delanie Walker"
"Tier 12: Allen Hurns, Duke Johnson, Tyler Lockett, Coby Fleener, Arian Foster, Dion Lewis"
"Tier 13: Marvin Jones, DeSean Jackson, Ameer Abdullah, Eli Manning, Rashad Jennings, Danny Woodhead, Michael Crabtree, Chris Ivory"
"Tier 14: Blake Bortles, Philip Rivers, Kevin White, Tyler Eifert, Gary Barnidge, Tom Brady, T.J. Yeldon"
"Tier 15: DeAngelo Williams, Zach Ertz, Josh Gordon, Julius Thomas, Sterling Shepard, Jay Ajayi"
"Tier 16: Justin Forsett, Torrey Smith, Charles Sims, Antonio Gates, Isaiah Crowell, Corey Coleman, Willie Snead"
"Tier 17: Stefon Diggs, Tyrod Taylor, Derek Carr, Tony Romo, LeGarrette Blount, Derrick Henry, Tavon Austin, Vincent Jackson, Travis Benjamin, Kirk Cousins, Tevin Coleman"
"Tier 18: Dwayne Allen, Jameis Winston, Bilal Powell, Markus Wheaton, Kamar Aiken"
"Tier 19: Matthew Stafford, Andy Dalton, Devin Funchess, Martellus Bennett, Steve Smith, Marcus Mariota, Matt Ryan, Theo Riddick, Michael Thomas, Laquon Treadwell, Eric Ebron"
"Tier 20: Phillip Dorsett, Jimmy Graham, Jason Witten, Mohamed Sanu, Ryan Tannehill, Sammie Coates, Seattle Seahawks, Denver Broncos, Ryan Fitzpatrick, Rishard Matthews, Zach Miller, Jordan Howard, Ladarius Green, Dorial Green-Beckham"
"Tier 21: Kenneth Dixon, DeAndre Washington, Jerick McKinnon, Arizona Cardinals, Javorius Allen, Devontae Booker, C.J. Prosise, Shane Vereen"
"Tier 22: Terrance Williams, Mike Wallace, James Starks, Darren Sproles"
"Tier 23: Jay Cutler, Carolina Panthers, Kendall Wright, Pierre Garcon, Joe Flacco, Charles Clay, Josh Doctson, Bruce Ellington, Karlos Williams"
"Tier 24: Christine Michael, Tyler Boyd, Houston Texans, Spencer Ware, Clive Walford, Jordan Cameron, Chris Johnson, Anquan Boldin, Austin Seferian-Jenkins, Darren McFadden"
"Tier 25: Alex Smith, Chris Hogan, Jared Cook, Paul Perkins, Terrance West, Los Angeles Rams, Ted Ginn, Tim Hightower, Chris Thompson, Breshad Perriman, Wendell Smallwood, Kansas City Chiefs"
"Tier 26: Nelson Agholor, Will Tye, Vance McDonald, Kyle Rudolph, Robert Griffin, Will Fuller, Tajae Sharpe, Brock Osweiler, James White, Alfred Morris, Benjamin Watson, New England Patriots"
